2019-10-25 09:00:04,913 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 9.783934116363525 seconds
2019-10-25 09:01:23,195 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124/csdp/manage/#/manage-view/systemManage/sys_uorgMgr, Spend 1.8895764350891113 seconds
2019-10-25 09:01:23,334 - root - INFO - SUCCESS    Clicked element: <xpath->//div[3]/button>, Spend 0.13763165473937988 seconds
2019-10-25 09:01:23,621 - root - INFO - SUCCESS    Clicked element: <xpath->/html/body/app-component/div[1]/main-component/div/div/manage-component/div/div/div/div[1]/div/div[2]/form/div[1]/div[1]/div/div/button[2]>, Spend 0.2865147590637207 seconds
2019-10-25 09:01:28,674 - root - INFO - FAIL    Unable to click element: <xpath->//a[contains(text(),'wuzs_auto01')]>, Spend 5.0526556968688965 seconds
2019-10-25 09:01:47,690 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 8.814364194869995 seconds
2019-10-25 09:01:47,991 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.298398494720459 seconds
2019-10-25 09:01:48,614 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124, Spend 0.6225192546844482 seconds
2019-10-25 09:01:48,688 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: wuzs0001, Spend 0.07280611991882324 seconds
2019-10-25 09:01:48,735 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 1qaz!QAZ, Spend 0.0448756217956543 seconds
2019-10-25 09:01:48,774 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.0379023551940918 seconds
2019-10-25 09:01:51,572 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 0.796856164932251 seconds
2019-10-25 09:01:53,775 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124/csdp/manage/#/manage-view/adminManage/auth/user, Spend 2.2021114826202393 seconds
2019-10-25 09:01:53,775 - root - INFO - FAIL    Unable to click element: <xpath=(//button[@type='button'])[10]>, Spend 0.0 seconds
2019-10-25 09:02:31,170 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 13.016868829727173 seconds
2019-10-25 09:02:31,447 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.27426791191101074 seconds
2019-10-25 09:02:32,856 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124, Spend 1.4052844047546387 seconds
2019-10-25 09:02:33,390 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: wuzs0001, Spend 0.5325775146484375 seconds
2019-10-25 09:02:33,435 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 1qaz!QAZ, Spend 0.04388236999511719 seconds
2019-10-25 09:02:33,478 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.04188704490661621 seconds
2019-10-25 09:02:36,323 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 0.8437340259552002 seconds
2019-10-25 09:02:38,664 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124/csdp/manage/#/manage-view/adminManage/auth/user, Spend 2.3411476612091064 seconds
2019-10-25 09:02:38,814 - root - INFO - SUCCESS    Clicked element: <xpath->(//button[@type='button'])[10]>, Spend 0.14960002899169922 seconds
2019-10-25 09:02:39,120 - root - INFO - SUCCESS    Clicked element: <xpath->//span/button/i>, Spend 0.3051893711090088 seconds
2019-10-25 09:02:45,160 - root - INFO - FAIL    Unable element <xpath->//div[@id='selectClientModal']/div[2]/div/div[@class='row search-form-default']/div[@class='col-md-12']/from/div[@class='input-group']/div[@class='input-count']/input> type content: wuzs_auto01,and sleep 0.5 seconds,input ENTER key, Spend 5.039053678512573 seconds
2019-10-25 09:06:26,315 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 8.788201808929443 seconds
2019-10-25 09:06:26,590 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.27526354789733887 seconds
2019-10-25 09:06:27,165 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124, Spend 0.573540449142456 seconds
2019-10-25 09:06:27,331 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: wuzs0001, Spend 0.16456198692321777 seconds
2019-10-25 09:06:27,374 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 1qaz!QAZ, Spend 0.043882131576538086 seconds
2019-10-25 09:06:27,412 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.03789854049682617 seconds
2019-10-25 09:06:30,058 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 0.6442532539367676 seconds
2019-10-25 09:06:31,702 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124/csdp/manage/#/manage-view/adminManage/auth/user, Spend 1.642608880996704 seconds
2019-10-25 09:06:31,852 - root - INFO - SUCCESS    Clicked element: <xpath->(//button[@type='button'])[10]>, Spend 0.14960002899169922 seconds
2019-10-25 09:06:32,299 - root - INFO - SUCCESS    Clicked element: <xpath->//span/button/i>, Spend 0.44583630561828613 seconds
2019-10-25 09:06:52,019 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 8.803930521011353 seconds
2019-10-25 09:06:52,292 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.2727234363555908 seconds
2019-10-25 09:06:52,896 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124, Spend 0.6034340858459473 seconds
2019-10-25 09:06:52,969 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: wuzs0001, Spend 0.0718076229095459 seconds
2019-10-25 09:06:53,024 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 1qaz!QAZ, Spend 0.05386018753051758 seconds
2019-10-25 09:06:53,063 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.03789854049682617 seconds
2019-10-25 09:06:55,727 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 0.6640608310699463 seconds
2019-10-25 09:06:57,213 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124/csdp/manage/#/manage-view/adminManage/auth/user, Spend 1.4850289821624756 seconds
2019-10-25 09:06:57,373 - root - INFO - SUCCESS    Clicked element: <xpath->(//button[@type='button'])[10]>, Spend 0.15857529640197754 seconds
2019-10-25 09:06:57,801 - root - INFO - SUCCESS    Clicked element: <xpath->//span/button/i>, Spend 0.42784738540649414 seconds
2019-10-25 09:07:03,871 - root - INFO - FAIL    Unable element <xpath->//div[@id='selectClientModal']/div[@class='modal-body']/div/div[@class='row search-form-default']/div[@class='col-md-12']/from/div[@class='input-group']/div[@class='input-count']/input> type content: wuzs_auto01,and sleep 0.5 seconds,input ENTER key, Spend 5.068715333938599 seconds
2019-10-25 09:07:54,999 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 8.756657361984253 seconds
2019-10-25 09:07:55,274 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.2735781669616699 seconds
2019-10-25 09:07:55,883 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124, Spend 0.6088371276855469 seconds
2019-10-25 09:07:55,975 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: wuzs0001, Spend 0.09075736999511719 seconds
2019-10-25 09:07:56,032 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 1qaz!QAZ, Spend 0.05585312843322754 seconds
2019-10-25 09:07:56,071 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.036900997161865234 seconds
2019-10-25 09:07:58,743 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 0.6710164546966553 seconds
2019-10-25 09:08:00,219 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124/csdp/manage/#/manage-view/adminManage/auth/user, Spend 1.4760544300079346 seconds
2019-10-25 09:08:00,376 - root - INFO - SUCCESS    Clicked element: <xpath->(//button[@type='button'])[10]>, Spend 0.15658187866210938 seconds
2019-10-25 09:08:00,799 - root - INFO - SUCCESS    Clicked element: <xpath->//span/button/i>, Spend 0.4219081401824951 seconds
2019-10-25 09:08:07,851 - root - INFO - FAIL    Unable element <xpath->//div[@id='selectClientModal']/div[@class='modal-body']/div/div[@class='row search-form-default']/div[@class='col-md-12']/from/div[@class='input-group']/div[@class='input-count']/input> type content: wuzs_auto01,and sleep 0.5 seconds,input ENTER key, Spend 5.050725936889648 seconds
2019-10-25 09:10:25,810 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 8.814008951187134 seconds
2019-10-25 09:10:26,123 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.3133833408355713 seconds
2019-10-25 09:10:26,841 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124, Spend 0.7180812358856201 seconds
2019-10-25 09:10:26,921 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: wuzs0001, Spend 0.07878971099853516 seconds
2019-10-25 09:10:26,964 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 1qaz!QAZ, Spend 0.04089164733886719 seconds
2019-10-25 09:10:27,004 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.03889870643615723 seconds
2019-10-25 09:10:30,024 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 1.0182840824127197 seconds
2019-10-25 09:10:31,772 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124/csdp/manage/#/manage-view/adminManage/auth/user, Spend 1.745534896850586 seconds
2019-10-25 09:10:32,220 - root - INFO - FAIL    Unable to click element: <xpath->(//button[@type='button'])[10]>, Spend 0.4468047618865967 seconds
2019-10-25 09:11:12,978 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 9.282794713973999 seconds
2019-10-25 09:11:13,282 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.3024170398712158 seconds
2019-10-25 09:11:13,952 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124, Spend 0.6689736843109131 seconds
2019-10-25 09:11:14,009 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: wuzs0001, Spend 0.05684781074523926 seconds
2019-10-25 09:11:14,041 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 1qaz!QAZ, Spend 0.0329129695892334 seconds
2019-10-25 09:11:14,070 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.028414011001586914 seconds
2019-10-25 09:11:17,342 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 1.2700541019439697 seconds
2019-10-25 09:11:19,928 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124/csdp/manage/#/manage-view/adminManage/auth/user, Spend 2.5841169357299805 seconds
2019-10-25 09:11:20,095 - root - INFO - SUCCESS    Clicked element: <xpath->(//button[@type='button'])[10]>, Spend 0.16655397415161133 seconds
2019-10-25 09:11:20,419 - root - INFO - SUCCESS    Clicked element: <xpath->//span/button/i>, Spend 0.3231353759765625 seconds
2019-10-25 09:35:42,786 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 8.782870531082153 seconds
2019-10-25 09:35:43,061 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.27322936058044434 seconds
2019-10-25 09:35:43,650 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124, Spend 0.5874300003051758 seconds
2019-10-25 09:35:43,709 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: wuzs0001, Spend 0.05781221389770508 seconds
2019-10-25 09:35:43,748 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 1qaz!QAZ, Spend 0.03889608383178711 seconds
2019-10-25 09:35:43,775 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.025931835174560547 seconds
2019-10-25 09:35:46,494 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 0.7181215286254883 seconds
2019-10-25 09:35:48,151 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124/csdp/manage/#/manage-view/adminManage/auth/user, Spend 1.6554932594299316 seconds
2019-10-25 09:35:48,314 - root - INFO - SUCCESS    Clicked element: <xpath->(//button[@type='button'])[10]>, Spend 0.16256499290466309 seconds
2019-10-25 09:35:48,633 - root - INFO - SUCCESS    Clicked element: <xpath->//span/button/i>, Spend 0.31815242767333984 seconds
2019-10-25 09:35:51,254 - root - INFO - SUCCESS    Element <xpath->//div[@id='selectClientModal']/div[2]/div/div/div/form/div/div/input> type content: wuzs_auto01,and sleep 0.5 seconds,input ENTER key, Spend 0.618316650390625 seconds
2019-10-25 09:35:57,300 - root - INFO - FAIL    Unable to click element: <xpath->//div[@id='selectClientModal']/div[@class='modal-body']/div[@class='box-body form']/able-component/div/table/tbody/tr/td[1]/div/span/input[@type='radio']>, Spend 5.0448737144470215 seconds
2019-10-25 09:48:05,938 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 8.767379999160767 seconds
2019-10-25 09:48:06,207 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.26754236221313477 seconds
2019-10-25 09:48:06,769 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124, Spend 0.5625050067901611 seconds
2019-10-25 09:48:06,841 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: wuzs0001, Spend 0.06981372833251953 seconds
2019-10-25 09:48:06,890 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 1qaz!QAZ, Spend 0.04887056350708008 seconds
2019-10-25 09:48:06,934 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.041886091232299805 seconds
2019-10-25 09:48:09,623 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 0.6891529560089111 seconds
2019-10-25 09:48:11,198 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124/csdp/manage/#/manage-view/adminManage/auth/user, Spend 1.5728209018707275 seconds
2019-10-25 09:48:11,348 - root - INFO - SUCCESS    Clicked element: <xpath->(//button[@type='button'])[10]>, Spend 0.14856743812561035 seconds
2019-10-25 09:48:11,770 - root - INFO - SUCCESS    Clicked element: <xpath->//span/button/i>, Spend 0.421830415725708 seconds
2019-10-25 09:48:14,474 - root - INFO - SUCCESS    Element <xpath->//div[@id='selectClientModal']/div[2]/div/div/div/form/div/div/input> type content: wuzs_auto01,and sleep 0.5 seconds,input ENTER key, Spend 0.7023735046386719 seconds
2019-10-25 09:48:21,544 - root - INFO - FAIL    Unable to click element: <xpath->//div[@id='selectClientModal']/div[@class='modal-body']/div[@class='box-body form']/able-component/div/table/tbody/tr/td[1]/div/span/input[@type='radio']>, Spend 5.06857705116272 seconds
2019-10-25 09:49:55,940 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 9.299197435379028 seconds
2019-10-25 09:49:56,208 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.26631593704223633 seconds
2019-10-25 09:49:56,812 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124, Spend 0.6043565273284912 seconds
2019-10-25 09:49:56,976 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: wuzs0001, Spend 0.16156840324401855 seconds
2019-10-25 09:49:57,021 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 1qaz!QAZ, Spend 0.04388260841369629 seconds
2019-10-25 09:49:57,062 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.03989291191101074 seconds
2019-10-25 09:49:59,762 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 0.6990201473236084 seconds
2019-10-25 09:50:01,326 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124/csdp/manage/#/manage-view/adminManage/auth/user, Spend 1.562920093536377 seconds
2019-10-25 09:50:01,488 - root - INFO - SUCCESS    Clicked element: <xpath->(//button[@type='button'])[10]>, Spend 0.161574125289917 seconds
2019-10-25 09:50:01,920 - root - INFO - SUCCESS    Clicked element: <xpath->//span/button/i>, Spend 0.42984986305236816 seconds
2019-10-25 09:50:04,522 - root - INFO - SUCCESS    Element <xpath->//div[@id='selectClientModal']/div[2]/div/div/div/form/div/div/input> type content: wuzs_auto01,and sleep 0.5 seconds,input ENTER key, Spend 0.6012146472930908 seconds
2019-10-25 09:50:06,801 - root - INFO - SUCCESS    Clicked element: <xpath->//div[@id='selectClientModal']/div[@class='modal-body']/div[@class='box-body form']/table-component/div/table/tbody/tr/td[1]/div/span/input[@type='radio']>, Spend 0.2772552967071533 seconds
2019-10-25 09:50:07,042 - root - INFO - SUCCESS    Clicked element: <xpath->//div[@id='selectClientModal']/div[@class='modal-footer']/button[@class='btn btn-flat btn-primary']>, Spend 0.24068140983581543 seconds
2019-10-25 09:50:07,126 - root - INFO - SUCCESS    Clear and type element: <xpath->(//input[@name='username'])[2]> content: wuzs_teant_0001, Spend 0.0827794075012207 seconds
2019-10-25 09:50:07,222 - root - INFO - SUCCESS    Clear and type element: <xpath->(//input[@name='firstname'])[2]> content: wuzs_teant_0001, Spend 0.09574580192565918 seconds
2019-10-25 09:50:07,316 - root - INFO - SUCCESS    Clear and type element: <xpath->(//input[@name='password'])[2]> content: 1qaz!QAZ, Spend 0.09275031089782715 seconds
2019-10-25 09:50:07,390 - root - INFO - SUCCESS    Clear and type element: <xpath->(//input[@name='_repassword'])[2]> content: 1qaz!QAZ, Spend 0.0738072395324707 seconds
2019-10-25 09:50:07,498 - root - INFO - SUCCESS    Clear and type element: <xpath->(//input[@name='email'])[2]> content: wzs@qq.com, Spend 0.1077113151550293 seconds
2019-10-25 09:50:07,647 - root - INFO - SUCCESS    Clicked element: <xpath->//form/div[2]/div/div/button>, Spend 0.14760518074035645 seconds
2019-10-25 09:50:11,066 - root - INFO - SUCCESS    Closed all window and quit the driver, Spend 1.4176101684570312 seconds
2019-10-25 09:50:48,811 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 8.764718532562256 seconds
2019-10-25 09:50:49,124 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.31316184997558594 seconds
2019-10-25 09:50:49,757 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124, Spend 0.6313076019287109 seconds
2019-10-25 09:50:49,876 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: wuzs0001, Spend 0.1196751594543457 seconds
2019-10-25 09:50:49,904 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 1qaz!QAZ, Spend 0.02792525291442871 seconds
2019-10-25 09:50:49,930 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.025931119918823242 seconds
2019-10-25 09:50:52,629 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 0.6969985961914062 seconds
2019-10-25 09:50:54,227 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124/csdp/manage/#/manage-view/adminManage/auth/user, Spend 1.5967304706573486 seconds
2019-10-25 09:50:54,384 - root - INFO - SUCCESS    Clicked element: <xpath->(//button[@type='button'])[10]>, Spend 0.15558433532714844 seconds
2019-10-25 09:50:54,819 - root - INFO - SUCCESS    Clicked element: <xpath->//span/button/i>, Spend 0.43389201164245605 seconds
2019-10-25 09:50:57,571 - root - INFO - SUCCESS    Element <xpath->//div[@id='selectClientModal']/div[2]/div/div/div/form/div/div/input> type content: wuzs_auto01,and sleep 0.5 seconds,input ENTER key, Spend 0.750446081161499 seconds
2019-10-25 09:51:00,923 - root - INFO - SUCCESS    Clicked element: <xpath->//div[@id='selectClientModal']/div[@class='modal-body']/div[@class='box-body form']/table-component/div/table/tbody/tr/td[1]/div/span/input[@type='radio']>, Spend 0.35027289390563965 seconds
2019-10-25 09:51:01,157 - root - INFO - SUCCESS    Clicked element: <xpath->//div[@id='selectClientModal']/div[@class='modal-footer']/button[@class='btn btn-flat btn-primary']>, Spend 0.23371577262878418 seconds
2019-10-25 09:51:01,264 - root - INFO - SUCCESS    Clear and type element: <xpath->(//input[@name='username'])[2]> content: wuzs_teant_0001, Spend 0.1047201156616211 seconds
2019-10-25 09:51:01,362 - root - INFO - SUCCESS    Clear and type element: <xpath->(//input[@name='firstname'])[2]> content: wuzs_teant_0001, Spend 0.09674191474914551 seconds
2019-10-25 09:51:01,432 - root - INFO - SUCCESS    Clear and type element: <xpath->(//input[@name='password'])[2]> content: 1qaz!QAZ, Spend 0.06981420516967773 seconds
2019-10-25 09:51:01,493 - root - INFO - SUCCESS    Clear and type element: <xpath->(//input[@name='_repassword'])[2]> content: 1qaz!QAZ, Spend 0.06083798408508301 seconds
2019-10-25 09:51:01,556 - root - INFO - SUCCESS    Clear and type element: <xpath->(//input[@name='email'])[2]> content: wzs@qq.com, Spend 0.06183481216430664 seconds
2019-10-25 09:51:02,288 - root - INFO - SUCCESS    Clicked element: <xpath->//form/div[2]/div/div/button>, Spend 0.7310471534729004 seconds
2019-10-25 09:51:07,541 - root - INFO - SUCCESS    Closed all window and quit the driver, Spend 3.2521393299102783 seconds
2019-10-25 10:13:34,184 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 8.832846641540527 seconds
2019-10-25 10:13:34,459 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.2732694149017334 seconds
2019-10-25 10:13:35,185 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124, Spend 0.7236878871917725 seconds
2019-10-25 10:13:35,267 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: wuzs0001, Spend 0.08078479766845703 seconds
2019-10-25 10:13:35,313 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 1qaz!QAZ, Spend 0.04587745666503906 seconds
2019-10-25 10:13:35,352 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.03690171241760254 seconds
2019-10-25 10:13:38,116 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 0.7636735439300537 seconds
2019-10-25 10:13:39,984 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124/csdp/manage/#/manage-view/adminManage/auth/projects, Spend 1.8670082092285156 seconds
2019-10-25 10:13:40,146 - root - INFO - SUCCESS    Clicked element: <xpath->//div[5]/button/i>, Spend 0.160569429397583 seconds
2019-10-25 10:13:40,533 - root - INFO - SUCCESS    Clicked element: <xpath->//span[contains(.,'请选择运营部门')]>, Spend 0.3869655132293701 seconds
2019-10-25 10:13:41,164 - root - INFO - SUCCESS    Element <xpath->(//input[@type='search'])[3]> type content: wuzs_auto01,and sleep 0.5 seconds,input ENTER key, Spend 0.6297755241394043 seconds
2019-10-25 10:13:41,437 - root - INFO - SUCCESS    Clicked element: <xpath->//div[3]/div/div/button[2]/i>, Spend 0.2724137306213379 seconds
2019-10-25 10:13:41,689 - root - INFO - SUCCESS    Clicked element: <xpath->//a[contains(text(),'wuzs_auto01')]>, Spend 0.24967694282531738 seconds
2019-10-25 10:13:41,743 - root - INFO - FAIL    Unable to clear and type element: <xpath->//div[3]/div/div/button[2]/i> content: wuzs_auto01_project, Spend 0.05185961723327637 seconds
2019-10-25 10:16:09,380 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 8.777178049087524 seconds
2019-10-25 10:16:09,659 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.2777824401855469 seconds
2019-10-25 10:16:10,236 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124, Spend 0.5764214992523193 seconds
2019-10-25 10:16:10,320 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='username']> content: wuzs0001, Spend 0.0827782154083252 seconds
2019-10-25 10:16:10,386 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='password']> content: 1qaz!QAZ, Spend 0.06482768058776855 seconds
2019-10-25 10:16:10,427 - root - INFO - SUCCESS    Clear and type element: <xpath -> //input[@name='captcha']> content: 1234, Spend 0.039893388748168945 seconds
2019-10-25 10:16:13,074 - root - INFO - SUCCESS    Clicked element: <xpath -> //button[contains(.,'登录')]>, Spend 0.6450419425964355 seconds
2019-10-25 10:16:14,508 - root - INFO - SUCCESS    Navigated to http:\\192.168.54.124/csdp/manage/#/manage-view/adminManage/auth/projects, Spend 1.432190179824829 seconds
2019-10-25 10:16:15,938 - root - INFO - SUCCESS    Clicked element: <xpath->//div[5]/button/i>, Spend 1.4297473430633545 seconds
2019-10-25 10:16:16,223 - root - INFO - SUCCESS    Clicked element: <xpath->//span[contains(.,'请选择运营部门')]>, Spend 0.2837233543395996 seconds
2019-10-25 10:16:16,809 - root - INFO - SUCCESS    Element <xpath->(//input[@type='search'])[3]> type content: wuzs_auto01,and sleep 0.5 seconds,input ENTER key, Spend 0.5839111804962158 seconds
